codigo_dane_dpto,departamento,numero_notarias
05,Antioquia,134
08,Atlántico,28
11,Bogotá D.C.,81
13,Bolívar,32
15,Boyacá,54
17,Caldas,29
18,Caquetá,8
19,Cauca,29
20,Cesar,24
23,Córdoba,24
25,Cundinamarca,67
27,Chocó,16
41,Huila,26
44,La Guajira,8
47,Magdalena,26
50,Meta,15
52,Nariño,25
54,Norte de Santander,34
63,Quindío,15
66,Risaralda,21
68,Santander,54
70,Sucre,21
73,Tolima,38
76,Valle del Cauca,75
81,Arauca,7
85,Casanare,10
86,Putumayo,8
88,San Andrés y Providencia,2
91,Amazonas,1
94,Guainía,2
95,Guaviare,1
97,Vaupés,1
99,Vichada,4